time_start,time_stop,freq_lo,freq_hi,time_length_s,bandwidth_hz
0.002,0.002112,2423600000.0,2440400000.0,0.00011200000000000012,16800000.0
0.008,0.008112,2423600000.0,2440400000.0,0.00011199999999999925,16800000.0
0.01,0.010112,2423600000.0,2440400000.0,0.00011199999999999925,16800000.0
0.016,0.016112,2423600000.0,2440400000.0,0.00011200000000000099,16800000.0
0.004,0.004112,2443600000.0,2460400000.0,0.00011200000000000012,16800000.0
0.012,0.012112,2443600000.0,2460400000.0,0.00011199999999999925,16800000.0
0.016,0.016112,2443600000.0,2460400000.0,0.00011200000000000099,16800000.0
0.002,0.00268,2401372500.0,2402627500.0,0.00068,1255000.0
0.004,0.00468,2401372500.0,2402627500.0,0.00068,1255000.0
0.012,0.01268,2401372500.0,2402627500.0,0.00068,1255000.0
0.004,0.00468,2409372500.0,2410627500.0,0.00068,1255000.0
0.01,0.01068,2409372500.0,2410627500.0,0.00068,1255000.0
0.016,0.01668,2409372500.0,2410627500.0,0.00068,1255000.0
0.004,0.00468,2417372500.0,2418627500.0,0.00068,1255000.0
0.008,0.00868,2417372500.0,2418627500.0,0.00068,1255000.0
0.012,0.01268,2417372500.0,2418627500.0,0.00068,1255000.0
0.016,0.01668,2417372500.0,2418627500.0,0.00068,1255000.0
0,0.0010007272727272727,2461000000.0,2483000000.0,0.0010007272727272727,22000000.0
0.005,0.006000727272727273,2461000000.0,2483000000.0,0.001000727272727273,22000000.0
0.01,0.011000727272727273,2461000000.0,2483000000.0,0.001000727272727273,22000000.0
0.015,0.01600072727272727,2461000000.0,2483000000.0,0.0010007272727272712,22000000.0
0.02,0.02100072727272727,2461000000.0,2483000000.0,0.0010007272727272712,22000000.0
